Freq.	(V(v)/(-V(I)))*1000
1.28824955169312e+04	(6.00096889360635e+01dB,5.66540488870874e-01°)
1.31825673855639e+04	(6.00097403630823e+01dB,5.79731038255532e-01°)
1.34896288259164e+04	(6.00097942123227e+01dB,5.93228415059148e-01°)
1.38038426460287e+04	(6.00098505977958e+01dB,6.07039736208811e-01°)
1.41253754462274e+04	(6.00099096388788e+01dB,6.21172282224289e-01°)
1.44543977074591e+04	(6.00099714605558e+01dB,6.35633500948304e-01°)
1.47910838816819e+04	(6.00100361936880e+01dB,6.50431011233125e-01°)
1.51356124843619e+04	(6.00101039752828e+01dB,6.65572606761016e-01°)
1.54881661891247e+04	(6.00101749487867e+01dB,6.81066259918481e-01°)
1.58489319246110e+04	(6.00102492643861e+01dB,6.96920125775870e-01°)
1.62181009735891e+04	(6.00103270793197e+01dB,7.13142546123453e-01°)
1.65958690743754e+04	(6.00104085582112e+01dB,7.29742053545403e-01°)
1.69824365246173e+04	(6.00104938734157e+01dB,7.46727375665603e-01°)
1.73780082874936e+04	(6.00105832053793e+01dB,7.64107439483662e-01°)
1.77827941003890e+04	(6.00106767430175e+01dB,7.81891375570485e-01°)
1.81970085860996e+04	(6.00107746841114e+01dB,8.00088522639907e-01°)
1.86208713666285e+04	(6.00108772357249e+01dB,8.18708432014102e-01°)
1.90546071796323e+04	(6.00109846146329e+01dB,8.37760872252818e-01°)
1.94984459975803e+04	(6.00110970477775e+01dB,8.57255833832586e-01°)
1.99526231496886e+04	(6.00112147727433e+01dB,8.77203533885431e-01°)
2.04173794466951e+04	(6.00113380382519e+01dB,8.97614421105148e-01°)
2.08929613085402e+04	(6.00114671046824e+01dB,9.18499180600190e-01°)
2.13796208950221e+04	(6.00116022446126e+01dB,9.39868739007852e-01°)
2.18776162394953e+04	(6.00117437433901e+01dB,9.61734269491893e-01°)
2.23872113856832e+04	(6.00118918997242e+01dB,9.84107197067723e-01°)
2.29086765276775e+04	(6.00120470263070e+01dB,1.00699920360436e+00°)
2.34422881531990e+04	(6.00122094504653e+01dB,1.03042223344957e+00°)
2.39883291901947e+04	(6.00123795148402e+01dB,1.05438849865352e+00°)
2.45470891568500e+04	(6.00125575780965e+01dB,1.07891048454627e+00°)
2.51188643150955e+04	(6.00127440156665e+01dB,1.10400095530093e+00°)
2.57039578276884e+04	(6.00129392205274e+01dB,1.12967295953812e+00°)
2.63026799189535e+04	(6.00131436040138e+01dB,1.15593983604454e+00°)
2.69153480392689e+04	(6.00133575966677e+01dB,1.18281521965255e+00°)
2.75422870333814e+04	(6.00135816491250e+01dB,1.21031304684362e+00°)
2.81838293126442e+04	(6.00138162330453e+01dB,1.23844756197491e+00°)
2.88403150312657e+04	(6.00140618420811e+01dB,1.26723332302623e+00°)
2.95120922666635e+04	(6.00143189928916e+01dB,1.29668520771218e+00°)
3.01995172040198e+04	(6.00145882262037e+01dB,1.32681841949720e+00°)
3.09029543251356e+04	(6.00148701079155e+01dB,1.35764849380636e+00°)
3.16227766016835e+04	(6.00151652302561e+01dB,1.38919130395763e+00°)
3.23593656929625e+04	(6.00154742129924e+01dB,1.42146306766612e+00°)
3.31131121482587e+04	(6.00157977046931e+01dB,1.45448035307385e+00°)
3.38844156139199e+04	(6.00161363840399e+01dB,1.48826008489082e+00°)
3.46736850452528e+04	(6.00164909612146e+01dB,1.52281955084992e+00°)
3.54813389233572e+04	(6.00168621793264e+01dB,1.55817640783660e+00°)
3.63078054770097e+04	(6.00172508159195e+01dB,1.59434868813221e+00°)
3.71535229097168e+04	(6.00176576845311e+01dB,1.63135480545198e+00°)
3.80189396320557e+04	(6.00180836363329e+01dB,1.66921356145260e+00°)
3.89045144994276e+04	(6.00185295618362e+01dB,1.70794415170211e+00°)
3.98107170553493e+04	(6.00189963926630e+01dB,1.74756617152022e+00°)
4.07380277804108e+04	(6.00194851034128e+01dB,1.78809962238749e+00°)
4.16869383470331e+04	(6.00199967135920e+01dB,1.82956491759339e+00°)
4.26579518801588e+04	(6.00205322896329e+01dB,1.87198288805914e+00°)
